SID,WORD,ED
1,absorb,d
6,accommodate,ɪd
7,accomplish,t
12,activate,ɪd
17,adjust,ɪd
30,anticipate,ɪd
39,assign,d
42,assure,d
73,boost,ɪd
92,chase,t
95,cheer,d
98,chop,t
101,clarify,d
102,classify,d
116,compose,d
120,comprise,d
124,confess,t
132,consult,ɪd
140,convey,d
142,cope,t
147,crack,t
153,cruise,t
160,dare,d
168,delete,ɪd
172,depart,ɪd
176,derive,d
180,devote,ɪd
181,differ,d
185,disappoint,ɪd
187,discourage,d
191,distinguish,t
192,distract,ɪd
193,disturb,d
194,dive,d
197,divorce,t
205,dump,t
216,eliminate,ɪd
217,embrace,t
225,equip,t
228,erupt,ɪd
235,evolve,d
236,exceed,ɪd
239,exclude,ɪd
240,exhibit,ɪd
245,exploit,ɪd
268,forecast,ɪd
283,fulfil,d
312,heal,d
333,implement,ɪd
336,incorporate,ɪd
343,infer,d
348,inherit,ɪd
353,insert,ɪd
358,integrate,ɪd
360,interact,ɪd
364,invade,ɪd
367,isolate,ɪd
398,manufacture,d
405,mate,ɪd
426,motivate,ɪd
436,negotiate,ɪd
450,occupy,d
481,pause,d
485,perceive,d
493,precede,ɪd
505,proceed,ɪd
508,prohibit,ɪd
511,prompt,ɪd
532,rebuild,ɪd
535,reckon,d
538,recruit,ɪd
544,regulate,ɪd
545,reinforce,t
546,relieve,d
551,resign,d
553,restore,d
554,restrict,ɪd
564,rob,d
570,ruin,d
574,scare,d
579,scratch,t
604,specialize,d
605,specify,d
608,speculate,ɪd
611,spill,d
613,spoil,d
621,starve,d
624,stimulate,ɪd
625,strengthen,d
639,suspend,ɪd
641,swallow,d
643,tackle,d
645,tag,d
646,tap,t
657,terrify,d
675,trace,t
680,transmit,ɪd
682,trap,t
686,trigger,d
695,unfold,ɪd
697,unite,ɪd
711,wander,d
720,withdraw,d
