SID,WORD,POS,Vowel_Type,Stressed_Vowel,Target,Position,Tapping
5,accidentally,adv.,Monophthong,/ ɛ /,T,Medial,NO
162,database,n.,Diphthong,/ eɪ /,D,Initial,NO
168,delete,v.,Monophthong,/ i /,D,Initial,NO
170,democratic,adj.,Monophthong,/ æ /,D,Initial,NO
177,desperately,adv.,Monophthong,/ ɛ /,D,Initial,NO
180,devote,v.,Diphthong,/ oʊ /,D,Initial,NO
202,dramatically,adv.,Monophthong,/ æ /,D,Initial,NO
233,evident,adj.,Monophthong,/ ɛ /,T,Final,NO
329,identical,adj.,Monophthong,/ ɛ /,T,Medial,NO
368,isolated,adj.,Diphthong,/ aɪ /,D,Final,NO
418,modest,adj.,Monophthong,/ ɑ /,T,Final,NO
497,predictable,adj.,Monophthong,/ ɪ /,T,Medial,NO
602,sophisticated,adj.,Monophthong,/ ɪ /,D,Final,NO
622,steadily,adv.,Monophthong,/ ɛ /,T,Medial,NO
676,trading,n.,Diphthong,/ eɪ /,T,Initial,NO
5,accidentally,adv.,Monophthong,/ ɛ /,D,Medial,YES
10,accurately,adv.,Monophthong,/ æ /,T,Medial,NO
12,activate,v.,Monophthong,/ æ /,T,Medial,NO
15,adequate,adj.,Monophthong,/ æ /,T,Medial,NO
15,adequate,adj.,Monophthong,/ æ /,D,Medial,YES
16,adequately,adv.,Monophthong,/ æ /,T,Medial,NO
16,adequately,adv.,Monophthong,/ æ /,D,Medial,YES
22,alongside,prep.,Diphthong,/ aɪ /,D,Medial,NO
30,anticipate,v.,Monophthong,/ ɪ /,T,Medial,NO
34,appropriately,adv.,Diphthong,/ oʊ /,T,Medial,NO
37,aside,adv.,Diphthong,/ aɪ /,D,Medial,NO
46,audio,adj.,Monophthong,/ ɔ /,D,Medial,YES
47,automatic,adj.,Monophthong,/ æ /,T,Medial,YES
48,automatically,adv.,Monophthong,/ æ /,T,Medial,YES
61,beside,prep.,Diphthong,/ aɪ /,D,Medial,NO
62,besides,prep.,Diphthong,/ aɪ /,D,Medial,NO
63,besides,adv.,Diphthong,/ aɪ /,D,Medial,NO
88,certificate,n.,Monophthong,/ ɪ /,T,Medial,NO
107,coincidence,n.,Monophthong,/ ɪ /,D,Medial,YES
114,comparative,adj.,Monophthong,/ æ /,T,Medial,YES
122,concrete,adj.,Monophthong,/ ɑ /,T,Medial,NO
123,concrete,n.,Monophthong,/ ɑ /,T,Medial,NO
128,considerable,adj.,Monophthong,/ ɪ /,D,Medial,YES
129,considerably,adv.,Monophthong,/ ɪ /,D,Medial,YES
144,corridor,n.,Monophthong,/ ɔ /,D,Medial,YES
150,creativity,n.,Monophthong,/ ɪ /,T,Medial,NO/YES
151,critically,adv.,Monophthong,/ ɪ /,T,Medial,YES
157,cute,adj.,Monophthong,/ u /,T,Medial,NO
162,database,n.,Diphthong,/ eɪ /,T,Medial,YES
168,delete,v.,Monophthong,/ i /,T,Medial,NO
170,democratic,adj.,Monophthong,/ æ /,T,Medial,YES
177,desperately,adv.,Monophthong,/ ɛ /,T,Medial,NO
180,devote,v.,Diphthong,/ oʊ /,T,Medial,NO
202,dramatically,adv.,Monophthong,/ æ /,T,Medial,YES
210,editorial,adj.,Monophthong,/ ɔ /,T,Medial,NO
210,editorial,adj.,Monophthong,/ ɔ /,D,Medial,NO
216,eliminate,v.,Monophthong,/ ɪ /,T,Medial,NO
233,evident,adj.,Monophthong,/ ɛ /,D,Medial,YES
239,exclude,v.,Monophthong,/ u /,D,Medial,NO
242,exotic,adj.,Monophthong,/ ɑ /,T,Medial,YES
258,federal,adj.,Monophthong,/ ɛ /,D,Medial,YES
272,fortunate,adj.,Monophthong,/ ɔ /,T,Medial,NO
291,genetic,adj.,Monophthong,/ ɛ /,T,Medial,YES
308,guideline,n.,Diphthong,/ aɪ /,D,Medial,NO
309,habitat,n.,Monophthong,/ æ /,T,Final,NO
329,identical,adj.,Monophthong,/ ɛ /,D,Medial,NO
336,incorporate,v.,Monophthong,/ ɔ /,T,Medial,NO
341,inevitable,adj.,Monophthong,/ ɛ /,T,Medial,YES
342,inevitably,adv.,Monophthong,/ ɛ /,T,Medial,YES
347,inhabitant,n.,Monophthong,/ æ /,T,Final,YES
351,innovative,adj.,Monophthong,/ ɪ /,T,Medial,YES
358,integrate,v.,Monophthong,/ ɪ /,T,Medial,NO
364,invade,v.,Diphthong,/ eɪ /,D,Medial,NO
367,isolate,v.,Diphthong,/ aɪ /,T,Medial,NO
368,isolated,adj.,Diphthong,/ aɪ /,T,Medial,YES
379,lately,adv.,Diphthong,/ eɪ /,T,Medial,NO
383,lifetime,n.,Diphthong,/ aɪ /,T,Medial,NO
387,literally,adv.,Monophthong,/ ɪ /,T,Medial,YES
388,literary,adj.,Monophthong,/ ɪ /,T,Medial,YES
404,mate,n.,Diphthong,/ eɪ /,T,Medial,NO
405,mate,v.,Diphthong,/ eɪ /,T,Medial,NO
410,medal,n.,Monophthong,/ ɛ /,D,Medial,YES
414,metaphor,n.,Monophthong,/ ɛ /,T,Medial,YES
417,mode,n.,Diphthong,/ oʊ /,D,Medial,NO
418,modest,adj.,Monophthong,/ ɑ /,D,Medial,YES
426,motivate,v.,Diphthong,/ oʊ /,T,Medial,YES/NO
436,negotiate,v.,Diphthong,/ oʊ /,T,Medial,NO
441,notebook,n.,Diphthong,/ oʊ /,T,Medial,NO
443,nowadays,adv.,Diphthong,/ aʊ /,D,Medial,NO
455,operator,n.,Monophthong,/ ɑ /,T,Medial,YES
471,parade,n.,Diphthong,/ eɪ /,D,Medial,NO
478,passionate,adj.,Monophthong,/ æ /,T,Medial,YES
480,patience,n.,Diphthong,/ eɪ /,T,Medial,NO
492,potentially,adv.,Monophthong,/ ɛ /,T,Medial,NO
493,precede,v.,Monophthong,/ i /,D,Medial,NO
497,predictable,adj.,Monophthong,/ ɪ /,D,Medial,NO
499,pride,n.,Diphthong,/ aɪ /,D,Medial,NO
513,protein,n.,Diphthong,/ oʊ /,T,Medial,NO
514,protester,n.,Diphthong,/ oʊ /,T,Medial,NO
530,rating,n.,Diphthong,/ eɪ /,T,Medial,YES
544,regulate,v.,Monophthong,/ ɛ /,T,Medial,NO
556,retail,n.,Monophthong,/ i /,T,Medial,NO
557,retirement,n.,Diphthong,/ aɪ /,T,Final,NO
560,ridiculous,adj.,Monophthong,/ ɪ /,D,Medial,NO
594,signature,n.,Monophthong,/ ɪ /,T,Medial,NO
601,sometime,adv.,Monophthong,/ ʌ /,T,Medial,NO
602,sophisticated,adj.,Monophthong,/ ɪ /,T,Medial,NO/YES
607,spectator,n.,Monophthong,/ ɛ /,T,Medial,YES/NO
608,speculate,v.,Monophthong,/ ɛ /,T,Medial,NO
612,spite,n.,Diphthong,/ aɪ /,T,Medial,NO
622,steadily,adv.,Monophthong,/ ɛ /,D,Medial,YES
624,stimulate,v.,Monophthong,/ ɪ /,T,Medial,NO
642,sympathetic,adj.,Monophthong,/ ɛ /,T,Medial,YES
658,territory,n.,Monophthong,/ ɛ /,T,Initial,NO
676,trading,n.,Diphthong,/ eɪ /,D,Medial,YES
690,ultimate,adj.,Monophthong,/ ʌ /,T,Medial,NO
696,unfortunate,adj.,Monophthong,/ ɔ /,T,Medial,NO
697,unite,v.,Diphthong,/ aɪ /,T,Medial,NO
710,voting,n.,Diphthong,/ oʊ /,T,Medial,YES
718,widespread,adj.,Diphthong,/ ɛ /,D,Final,NO
