SID,Level,WORD,POS,WORD,Vowel_Type,Stressed_Vowel
1,C,abolish,v.,abolish,Monophthong,/ ɑ /
2,C,abortion,n.,abortion,Monophthong,/ ɔ /
3,C,absence,n.,absence,Monophthong,/ æ /
4,C,absent,adj.,absent,Monophthong,/ æ /
5,C,absurd,adj.,absurd,Monophthong,/ ɝ /
6,C,abundance,n.,abundance,Monophthong,/ ʌ /
7,C,abuse,n.,abuse,Monophthong,/ u /
8,C,abuse,v.,abuse,Monophthong,/ u /
9,C,academy,n.,academy,Monophthong,/ æ /
10,C,accelerate,v.,accelerate,Monophthong,/ ɛ /
11,C,acceptance,n.,acceptance,Monophthong,/ ɛ /
12,C,accessible,adj.,accessible,Monophthong,/ ɛ /
13,C,accomplishment,n.,accomplishment,Monophthong,/ ɑ /
14,C,accordance,n.,accordance,Monophthong,/ ɔ /
15,C,accordingly,adv.,accordingly,Monophthong,/ ɔ /
16,C,accountability,n.,accountability,Monophthong,/ ɪ /
17,C,accountable,adj.,accountable,Diphthong,/ aʊ /
18,C,accumulate,v.,accumulate,Monophthong,/ u /
19,C,accumulation,n.,accumulation,Diphthong,/ eɪ /
20,C,accusation,n.,accusation,Diphthong,/ eɪ /
21,C,accused,n.,accused,Monophthong,/ u /
22,C,acid,adj.,acid,Monophthong,/ æ /
23,C,acquisition,n.,acquisition,Monophthong,/ ɪ /
24,C,acre,n.,acre,Diphthong,/ eɪ /
25,C,activation,n.,activation,Diphthong,/ eɪ /
26,C,activist,n.,activist,Monophthong,/ æ /
27,C,acute,adj.,acute,Monophthong,/ u /
28,C,adaptation,n.,adaptation,Diphthong,/ eɪ /
29,C,adhere,v.,adhere,Monophthong,/ ɪ /
30,C,adjacent,adj.,adjacent,Diphthong,/ eɪ /
31,C,adjustment,n.,adjustment,Monophthong,/ ʌ /
32,C,administer,v.,administer,Monophthong,/ ɪ /
33,C,administrative,adj.,administrative,Monophthong,/ ɪ /
34,C,administrator,n.,administrator,Monophthong,/ ɪ /
35,C,admission,n.,admission,Monophthong,/ ɪ /
36,C,adolescent,n.,adolescent,Monophthong,/ ɛ /
37,C,adoption,n.,adoption,Monophthong,/ ɑ /
38,C,adverse,adj.,adverse,Monophthong,/ ɝ /
39,C,advocate,n.,advocate,Monophthong,/ æ /
40,C,advocate,v.,advocate,Monophthong,/ æ /
41,C,aesthetic,adj.,aesthetic,Monophthong,/ ɛ /
42,C,affection,n.,affection,Monophthong,/ ɛ /
43,C,aftermath,n.,aftermath,Monophthong,/ æ /
44,C,aggression,n.,aggression,Monophthong,/ ɛ /
45,C,agricultural,adj.,agricultural,Monophthong,/ æ /
46,C,aide,n.,aide,Diphthong,/ eɪ /
47,C,albeit,conj.,albeit,Monophthong,/ i /
48,C,alert,v.,alert,Monophthong,/ ɝ /
49,C,alert,n.,alert,Monophthong,/ ɝ /
50,C,alien,adj.,alien,Diphthong,/ eɪ /
51,C,align,v.,align,Diphthong,/ aɪ /
52,C,alignment,n.,alignment,Diphthong,/ aɪ /
53,C,alike,adv.,alike,Diphthong,/ aɪ /
54,C,alike,adj.,alike,Diphthong,/ aɪ /
55,C,allegation,n.,allegation,Diphthong,/ eɪ /
56,C,allege,v.,allege,Monophthong,/ ɛ /
57,C,allegedly,adv.,allegedly,Monophthong,/ ɛ /
58,C,alliance,n.,alliance,Diphthong,/ aɪ /
59,C,allocate,v.,allocate,Monophthong,/ æ /
60,C,allocation,n.,allocation,Diphthong,/ eɪ /
61,C,allowance,n.,allowance,Diphthong,/ aʊ /
62,C,ally,n.,ally,Monophthong,/ æ /
63,C,aluminium,n.,aluminium,Monophthong,/ ɪ /
64,C,amateur,n.,amateur,Monophthong,/ æ /
65,C,ambassador,n.,ambassador,Monophthong,/ æ /
66,C,amend,v.,amend,Monophthong,/ ɛ /
67,C,amendment,n.,amendment,Monophthong,/ ɛ /
68,C,amid,prep.,amid,Monophthong,/ ɪ /
69,C,analogy,n.,analogy,Monophthong,/ æ /
70,C,anchor,n.,anchor,Monophthong,/ æ /
71,C,angel,n.,angel,Diphthong,/ eɪ /
72,C,anonymous,adj.,anonymous,Monophthong,/ ɑ /
73,C,apparatus,n.,apparatus,Monophthong,/ æ /
74,C,appealing,adj.,appealing,Monophthong,/ i /
75,C,appetite,n.,appetite,Monophthong,/ æ /
76,C,applaud,v.,applaud,Monophthong,/ ɔ /
77,C,applicable,adj.,applicable,Monophthong,/ ɪ /
78,C,appoint,v.,appoint,Diphthong,/ ɔɪ /
79,C,appreciation,n.,appreciation,Diphthong,/ eɪ /
80,C,arbitrary,adj.,arbitrary,Monophthong,/ ɑ /
81,C,architectural,adj.,architectural,Monophthong,/ ɛ /
82,C,archive,n.,archive,Monophthong,/ ɑ /
83,C,arena,n.,arena,Monophthong,/ i /
84,C,arguably,adv.,arguably,Monophthong,/ ɑ /
85,C,arm,v.,arm,Monophthong,/ ɑ /
86,C,array,n.,array,Diphthong,/ eɪ /
87,C,articulate,v.,articulate,Monophthong,/ ɪ /
88,C,ash,n.,ash,Monophthong,/ æ /
89,C,aspiration,n.,aspiration,Diphthong,/ eɪ /
90,C,aspire,v.,aspire,Diphthong,/ aɪ /
91,C,assassination,n.,assassination,Diphthong,/ eɪ /
92,C,assault,n.,assault,Monophthong,/ ɔ /
93,C,assault,v.,assault,Monophthong,/ ɔ /
94,C,assemble,v.,assemble,Monophthong,/ ɛ /
95,C,assembly,n.,assembly,Monophthong,/ ɛ /
96,C,assert,v.,assert,Monophthong,/ ɝ /
97,C,assertion,n.,assertion,Monophthong,/ ɝ /
98,C,assurance,n.,assurance,Monophthong,/ ʊ /
99,C,asylum,n.,asylum,Diphthong,/ aɪ /
100,C,atrocity,n.,atrocity,Monophthong,/ ɑ /
101,C,attain,v.,attain,Diphthong,/ eɪ /
102,C,attendance,n.,attendance,Monophthong,/ ɛ /
103,C,attorney,n.,attorney,Monophthong,/ ɝ /
104,C,attribute,v.,attribute,Monophthong,/ ɪ /
105,C,attribute,n.,attribute,Monophthong,/ æ /
106,C,audit,n.,audit,Monophthong,/ ɔ /
107,C,authentic,adj.,authentic,Monophthong,/ ɛ /
108,C,authorize,v.,authorize,Monophthong,/ ɔ /
109,C,auto,n.,auto,Monophthong,/ ɔ /
110,C,autonomy,n.,autonomy,Monophthong,/ ɑ /
111,C,availability,n.,availability,Monophthong,/ ɪ /
112,C,await,v.,await,Diphthong,/ eɪ /
113,C,backdrop,n.,backdrop,Monophthong,/ æ /
114,C,backing,n.,backing,Monophthong,/ æ /
115,C,backup,n.,backup,Monophthong,/ æ /
116,C,bail,n.,bail,Diphthong,/ eɪ /
117,C,ballot,n.,ballot,Monophthong,/ æ /
118,C,banner,n.,banner,Monophthong,/ æ /
119,C,bare,adj.,bare,Monophthong,/ ɛ /
120,C,barrel,n.,barrel,Monophthong,/ æ /
121,C,bass1,n.,bass1,Diphthong,/ eɪ /
122,C,bat,v.,bat,Monophthong,/ æ /
123,C,battlefield,n.,battlefield,Monophthong,/ æ /
124,C,bay,n.,bay,Diphthong,/ eɪ /
125,C,beam,n.,beam,Monophthong,/ i /
