SID,Level,WORD,POS,Vowel_Type,Stressed_Vowel
1,C,abolish,v.,Monophthong,/ ɑ /
2,C,abortion,n.,Monophthong,/ ɔ /
3,C,absence,n.,Monophthong,/ æ /
4,C,absent,adj.,Monophthong,/ æ /
5,C,absurd,adj.,Monophthong,/ ɝ /
6,C,abundance,n.,Monophthong,/ ʌ /
7,C,abuse,n.,Monophthong,/ u /
8,C,abuse,v.,Monophthong,/ u /
9,C,academy,n.,Monophthong,/ æ /
10,C,accelerate,v.,Monophthong,/ ɛ /
11,C,acceptance,n.,Monophthong,/ ɛ /
12,C,accessible,adj.,Monophthong,/ ɛ /
13,C,accomplishment,n.,Monophthong,/ ɑ /
14,C,accordance,n.,Monophthong,/ ɔ /
15,C,accordingly,adv.,Monophthong,/ ɔ /
16,C,accountability,n.,Monophthong,/ ɪ /
17,C,accountable,adj.,Diphthong,/ aʊ
18,C,accumulate,v.,Monophthong,/ u /
19,C,accumulation,n.,Diphthong,/ eɪ /
20,C,accusation,n.,Diphthong,/ eɪ /
21,C,accused,n.,Monophthong,/ u /
22,C,acid,adj.,Monophthong,/ æ /
23,C,acquisition,n.,Monophthong,/ ɪ /
24,C,acre,n.,Diphthong,/ eɪ /
25,C,activation,n.,Diphthong,/ eɪ /
26,C,activist,n.,Monophthong,/ æ /
27,C,acute,adj.,Monophthong,/ u /
28,C,adaptation,n.,Diphthong,/ eɪ /
29,C,adhere,v.,Monophthong,/ ɪ /
30,C,adjacent,adj.,Diphthong,/ eɪ /
31,C,adjustment,n.,Monophthong,/ ʌ /
32,C,administer,v.,Monophthong,/ ɪ /
33,C,administrative,adj.,Monophthong,/ ɪ /
34,C,administrator,n.,Monophthong,/ ɪ /
35,C,admission,n.,Monophthong,/ ɪ /
36,C,adolescent,n.,Monophthong,/ ɛ /
37,C,adoption,n.,Monophthong,/ ɑ /
38,C,adverse,adj.,Monophthong,/ ɝ /
39,C,advocate,n.,Monophthong,/ æ /
40,C,advocate,v.,Monophthong,/ æ /
41,C,aesthetic,adj.,Monophthong,/ ɛ /
42,C,affection,n.,Monophthong,/ ɛ /
43,C,aftermath,n.,Monophthong,/ æ /
44,C,aggression,n.,Monophthong,/ ɛ /
45,C,agricultural,adj.,Monophthong,/ æ /
46,C,aide,n.,Diphthong,/ eɪ /
47,C,albeit,conj.,Monophthong,/ i /
48,C,alert,v.,Monophthong,/ ɝ /
49,C,alert,n.,Monophthong,/ ɝ /
50,C,alien,adj.,Diphthong,/ eɪ /
51,C,align,v.,Diphthong,/ aɪ /
52,C,alignment,n.,Diphthong,/ aɪ /
53,C,alike,adv.,Diphthong,/ aɪ /
54,C,alike,adj.,Diphthong,/ aɪ /
55,C,allegation,n.,Diphthong,/ eɪ /
56,C,allege,v.,Monophthong,/ ɛ /
57,C,allegedly,adv.,Monophthong,/ ɛ /
58,C,alliance,n.,Diphthong,/ aɪ /
59,C,allocate,v.,Monophthong,/ æ /
60,C,allocation,n.,Diphthong,/ eɪ /
61,C,allowance,n.,Diphthong,/ aʊ
62,C,ally,n.,Monophthong,/ æ /
63,C,aluminium,n.,Monophthong,/ ɪ /
64,C,amateur,n.,Monophthong,/ æ /
65,C,ambassador,n.,Monophthong,/ æ /
66,C,amend,v.,Monophthong,/ ɛ /
67,C,amendment,n.,Monophthong,/ ɛ /
68,C,amid,prep.,Monophthong,/ ɪ /
69,C,analogy,n.,Monophthong,/ æ /
70,C,anchor,n.,Monophthong,/ æ /
71,C,angel,n.,Diphthong,/ eɪ /
72,C,anonymous,adj.,Monophthong,/ ɑ /
73,C,apparatus,n.,Monophthong,/ æ /
74,C,appealing,adj.,Monophthong,/ i /
75,C,appetite,n.,Monophthong,/ æ /
76,C,applaud,v.,Monophthong,/ ɔ /
77,C,applicable,adj.,Monophthong,/ ɪ /
78,C,appoint,v.,Diphthong,/ ɔɪ /
79,C,appreciation,n.,Diphthong,/ eɪ /
80,C,arbitrary,adj.,Monophthong,/ ɑ /
81,C,architectural,adj.,Monophthong,/ ɛ /
82,C,archive,n.,Monophthong,/ ɑ /
83,C,arena,n.,Monophthong,/ i /
