SID,WORD,POS,Vowel_Type,Stressed_Vowel
1,absorb,v.,Monophthong,/ ɔ /
2,abstract,n.,Monophthong,/ æ /
3,abstract,adj.,Monophthong,/ æ /
4,accent,n.,Monophthong,/ æ /
5,accidentally,adv.,Monophthong,/ ɛ /
6,accommodate,v.,Monophthong,/ ɑ /
7,accomplish,v.,Monophthong,/ ɑ /
8,accountant,n.,Diphthong,/ aʊ /
9,accuracy,n.,Monophthong,/ æ /
10,accurately,adv.,Monophthong,/ æ /
11,acid,n.,Monophthong,/ æ /
12,activate,v.,Monophthong,/ æ /
13,addiction,n.,Monophthong,/ ɪ /
14,additionally,adv.,Monophthong,/ ɪ /
15,adequate,adj.,Monophthong,/ æ /
16,adequately,adv.,Monophthong,/ æ /
17,adjust,v.,Monophthong,/ ʌ /
18,affordable,adj.,Monophthong,/ ɔ /
19,agriculture,n.,Monophthong,/ æ /
20,AIDS,n.,Diphthong,/ eɪ /
21,alien,n.,Diphthong,/ eɪ /
22,alongside,prep.,Diphthong,/ aɪ /
23,altogether,adv.,Monophthong,/ ɛ /
24,ambulance,n.,Monophthong,/ æ /
25,amusing,adj.,Monophthong,/ u /
26,analyst,n.,Monophthong,/ æ /
27,ancestor,n.,Monophthong,/ æ /
28,animation,n.,Diphthong,/ eɪ /
29,annually,adv.,Monophthong,/ æ /
30,anticipate,v.,Monophthong,/ ɪ /
31,anxiety,n.,Diphthong,/ aɪ /
32,apology,n.,Monophthong,/ ɑ /
33,applicant,n.,Monophthong,/ æ /
34,appropriately,adv.,Diphthong,/ oʊ /
35,arrow,n.,Monophthong,/ æ /
36,artwork,n.,Monophthong,/ ɑ /
37,aside,adv.,Diphthong,/ aɪ /
38,asset,n.,Monophthong,/ æ /
39,assign,v.,Diphthong,/ aɪ /
40,assistance,n.,Monophthong,/ ɪ /
41,assumption,n.,Monophthong,/ ʌ /
42,assure,v.,Monophthong,/ ʊ /
43,astonishing,adj.,Monophthong,/ ɑ /
44,attachment,n.,Monophthong,/ æ /
45,auction,n.,Monophthong,/ ɔ /
46,audio,adj.,Monophthong,/ ɔ /
47,automatic,adj.,Monophthong,/ æ /
48,automatically,adv.,Monophthong,/ æ /
49,awareness,n.,Monophthong,/ ɝ /
50,awkward,adj.,Monophthong,/ ɔ /
51,badge,n.,Monophthong,/ æ /
52,balanced,adj.,Monophthong,/ æ /
53,ballet,n.,Diphthong,/ eɪ /
54,balloon,n.,Monophthong,/ u /
55,barely,adv.,Monophthong,/ ɝ /
56,bargain,n.,Monophthong,/ ɑ /
57,basement,n.,Diphthong,/ eɪ /
58,basket,n.,Monophthong,/ æ /
59,bat,n.,Monophthong,/ æ /
60,beneficial,adj.,Monophthong,/ ɪ /
61,beside,prep.,Diphthong,/ aɪ /
62,besides,prep.,Diphthong,/ aɪ /
63,besides,adv.,Diphthong,/ aɪ /
64,bias,n.,Diphthong,/ aɪ /
65,bid,n.,Monophthong,/ ɪ /
66,bid,v.,Monophthong,/ ɪ /
67,biological,adj.,Monophthong,/ ɑ /
68,blanket,n.,Monophthong,/ æ /
69,blow,n.,Diphthong,/ oʊ /
70,bold,adj.,Diphthong,/ oʊ /
71,bombing,n.,Monophthong,/ ɑ /
72,booking,n.,Monophthong,/ ʊ /
73,boost,v.,Monophthong,/ u /
74,boost,n.,Monophthong,/ u /
75,bound,adj.,Diphthong,/ aʊ /
76,brick,n.,Monophthong,/ ɪ /
77,briefly,adv.,Monophthong,/ i /
78,broadcaster,n.,Monophthong,/ ɔ /
79,broadly,adv.,Monophthong,/ ɔ /
80,bug,n.,Monophthong,/ ʌ /
81,cabin,n.,Monophthong,/ æ /
82,canal,n.,Monophthong,/ æ /
83,candle,n.,Monophthong,/ æ /
84,carbon,n.,Monophthong,/ ɑ /
85,casual,adj.,Monophthong,/ æ /
86,cave,n.,Diphthong,/ eɪ /
87,certainty,n.,Monophthong,/ ɝ /
88,certificate,n.,Monophthong,/ ɪ /
89,challenging,adj.,Monophthong,/ æ /
90,championship,n.,Monophthong,/ æ /
91,charming,adj.,Monophthong,/ ɑ /
92,chase,v.,Diphthong,/ eɪ /
93,chase,n.,Diphthong,/ aɪ /
94,cheek,n.,Monophthong,/ i /
95,cheer,v.,Monophthong,/ ɝ /
96,cheer,n.,Monophthong,/ ɝ /
97,choir,n.,Diphthong,/ aɪ /
98,chop,v.,Monophthong,/ ɑ /
99,circuit,n.,Monophthong,/ ɪ /
100,civilization,n.,Diphthong,/ eɪ /
101,clarify,v.,Monophthong,/ æ /
102,classify,v.,Monophthong,/ æ /
103,clerk,n.,Monophthong,/ ɝ /
104,cliff,n.,Monophthong,/ ɪ /
105,clinic,n.,Monophthong,/ ɪ /
106,clip,n.,Monophthong,/ ɪ /
107,coincidence,n.,Monophthong,/ ɪ /
108,collector,n.,Monophthong,/ ɛ /
109,colony,n.,Monophthong,/ ɑ /
110,colorful,adj.,Monophthong,/ ʌ /
111,comic,adj.,Monophthong,/ ɑ /
112,comic,n.,Monophthong,/ ɑ /
113,commander,n.,Monophthong,/ æ /
114,comparative,adj.,Monophthong,/ æ /
115,completion,n.,Monophthong,/ i /
116,compose,v.,Diphthong,/ oʊ /
117,composer,n.,Diphthong,/ oʊ /
118,compound,n.,Diphthong,/ aʊ /
119,comprehensive,adj.,Monophthong,/ ɛ /
120,comprise,v.,Diphthong,/ aɪ /
121,compulsory,adj.,Monophthong,/ ʌ /
122,concrete,adj.,Monophthong,/ ɑ /
123,concrete,n.,Monophthong,/ ɑ /
124,confess,v.,Monophthong,/ ɛ /
125,confusion,n.,Monophthong,/ u /
126,consequently,adv.,Monophthong,/ ɑ /
127,conservation,n.,Diphthong,/ eɪ /
128,considerable,adj.,Monophthong,/ ɪ /
129,considerably,adv.,Monophthong,/ ɪ /
130,consistently,adv.,Monophthong,/ ɪ /
131,conspiracy,n.,Monophthong,/ ɪ /
132,consult,v.,Monophthong,/ ʌ /
133,consultant,n.,Monophthong,/ ʌ /
134,consumption,n.,Monophthong,/ ʌ /
135,controversial,adj.,Monophthong,/ ɛ /
136,controversy,n.,Monophthong,/ ɑ /
137,convenience,n.,Monophthong,/ i /
138,convention,n.,Monophthong,/ ɛ /
139,conventional,adj.,Monophthong,/ ɛ /
140,convey,v.,Diphthong,/ eɪ /
141,convincing,adj.,Monophthong,/ ɪ /
142,cope,v.,Diphthong,/ oʊ /
143,corporation,n.,Diphthong,/ eɪ /
144,corridor,n.,Monophthong,/ ɔ /
145,counter,n.,Diphthong,/ aʊ /
146,coverage,n.,Monophthong,/ ʌ /
147,crack,v.,Monophthong,/ æ /
148,crack,n.,Monophthong,/ æ /
149,craft,n.,Monophthong,/ æ /
150,creativity,n.,Monophthong,/ ɪ /
151,critically,adv.,Monophthong,/ ɪ /
152,cruise,n.,Monophthong,/ u /
153,cruise,v.,Monophthong,/ u /
154,cue,n.,Monophthong,/ u /
155,curious,adj.,Monophthong,/ ʊ /
156,curriculum,n.,Monophthong,/ ɪ /
157,cute,adj.,Monophthong,/ u /
158,dairy,n.,Monophthong,/ ɛ /
159,dairy,adj.,Monophthong,/ ɛ /
160,dare,v.,Monophthong,/ ɛ /
161,darkness,n.,Monophthong,/ ɑ /
162,database,n.,Diphthong,/ eɪ /
163,deadline,n.,Monophthong,/ ɛ /
164,deadly,adj.,Monophthong,/ ɛ /
165,dealer,n.,Monophthong,/ i /
166,deck,n.,Monophthong,/ ɛ /
167,defender,n.,Monophthong,/ ɛ /
168,delete,v.,Monophthong,/ i /
169,democracy,n.,Monophthong,/ ɑ /
170,democratic,adj.,Monophthong,/ æ /
171,demonstration,n.,Diphthong,/ eɪ /
172,depart,v.,Monophthong,/ ɑ /
173,dependent,adj.,Monophthong,/ ɛ /
174,deposit,n.,Monophthong,/ ɑ /
175,depression,n.,Monophthong,/ ɛ /
176,derive,v.,Diphthong,/ aɪ /
177,desperately,adv.,Monophthong,/ ɛ /
178,destruction,n.,Monophthong,/ ʌ /
179,determination,n.,Diphthong,/ eɪ /
180,devote,v.,Diphthong,/ oʊ /
181,differ,v.,Monophthong,/ ɪ /
182,disability,n.,Monophthong,/ ɪ /
